"","buying","maint","doors","persons","lug_boot","safety","class"
"1","vhigh","vhigh","2","2","big","med","unacc"
"2","vhigh","vhigh","2","2","big","high","unacc"
"3","vhigh","vhigh","2","4","small","low","unacc"
"4","vhigh","vhigh","2","4","small","med","unacc"
"5","vhigh","vhigh","2","4","small","high","unacc"
"6","vhigh","vhigh","2","4","med","low","unacc"
"7","vhigh","vhigh","2","4","med","med","unacc"
"8","vhigh","vhigh","2","4","med","high","unacc"
"9","vhigh","vhigh","2","4","big","low","unacc"
"10","vhigh","vhigh","2","4","big","med","unacc"
"11","vhigh","vhigh","2","4","big","high","unacc"
"12","vhigh","vhigh","2","more","small","low","unacc"
"13","vhigh","vhigh","2","more","small","med","unacc"
"14","vhigh","vhigh","2","more","small","high","unacc"
"15","vhigh","vhigh","2","more","med","low","unacc"
"16","vhigh","vhigh","3","2","small","med","unacc"
"17","vhigh","vhigh","3","2","small","high","unacc"
"18","vhigh","vhigh","3","2","med","low","unacc"
"19","vhigh","vhigh","3","2","med","med","unacc"
"20","vhigh","vhigh","3","2","med","high","unacc"
"21","vhigh","vhigh","3","2","big","low","unacc"
"22","vhigh","vhigh","3","2","big","med","unacc"
"23","vhigh","vhigh","3","2","big","high","unacc"
"24","vhigh","vhigh","3","4","small","low","unacc"
"25","vhigh","vhigh","3","4","big","low","unacc"
"26","vhigh","vhigh","3","4","big","med","unacc"
"27","vhigh","vhigh","3","4","big","high","unacc"
"28","vhigh","vhigh","3","more","small","low","unacc"
"29","vhigh","vhigh","3","more","small","med","unacc"
"30","vhigh","vhigh","3","more","big","med","unacc"
"31","vhigh","vhigh","3","more","big","high","unacc"
"32","vhigh","vhigh","4","2","small","low","unacc"
"33","vhigh","vhigh","5more","4","small","med","unacc"
"34","vhigh","vhigh","5more","4","small","high","unacc"
"35","vhigh","vhigh","5more","4","med","low","unacc"
"36","vhigh","vhigh","5more","4","med","med","unacc"
"37","vhigh","vhigh","5more","4","med","high","unacc"
"38","vhigh","vhigh","5more","4","big","low","unacc"
"39","vhigh","vhigh","5more","4","big","med","unacc"
"40","vhigh","vhigh","5more","4","big","high","unacc"
"41","vhigh","vhigh","5more","more","small","low","unacc"
"42","vhigh","vhigh","5more","more","small","med","unacc"
"43","vhigh","vhigh","5more","more","small","high","unacc"
"44","vhigh","vhigh","5more","more","med","low","unacc"
"45","vhigh","vhigh","5more","more","med","med","unacc"
"46","vhigh","vhigh","5more","more","med","high","unacc"
"47","vhigh","vhigh","5more","more","big","low","unacc"
"48","vhigh","high","2","2","big","high","unacc"
"49","vhigh","high","2","4","small","low","unacc"
"50","vhigh","high","2","4","small","med","unacc"
"51","vhigh","high","2","4","small","high","unacc"
"52","vhigh","high","2","4","med","low","unacc"
"53","vhigh","high","3","2","small","high","unacc"
"54","vhigh","high","3","2","med","low","unacc"
"55","vhigh","high","3","2","med","med","unacc"
"56","vhigh","high","3","2","med","high","unacc"
"57","vhigh","high","3","2","big","low","unacc"
"58","vhigh","high","3","2","big","med","unacc"
"59","vhigh","high","3","2","big","high","unacc"
"60","vhigh","high","3","4","small","low","unacc"
"61","vhigh","high","3","4","small","med","unacc"
"62","vhigh","high","3","4","small","high","unacc"
"63","vhigh","high","3","4","med","low","unacc"
"64","vhigh","high","3","4","med","med","unacc"
"65","vhigh","high","3","4","med","high","unacc"
"66","vhigh","high","3","4","big","low","unacc"
"67","vhigh","high","3","4","big","med","unacc"
"68","vhigh","high","3","4","big","high","unacc"
"69","vhigh","high","3","more","small","low","unacc"
"70","vhigh","high","4","4","small","low","unacc"
"71","vhigh","high","4","4","small","med","unacc"
"72","vhigh","high","4","4","small","high","unacc"
"73","vhigh","high","4","4","med","low","unacc"
"74","vhigh","high","4","4","med","med","unacc"
"75","vhigh","high","4","4","med","high","unacc"
"76","vhigh","high","4","4","big","low","unacc"
"77","vhigh","high","4","4","big","med","unacc"
"78","vhigh","high","4","4","big","high","unacc"
"79","vhigh","high","4","more","small","low","unacc"
"80","vhigh","high","4","more","small","med","unacc"
"81","vhigh","high","4","more","small","high","unacc"
"82","vhigh","high","4","more","med","low","unacc"
"83","vhigh","high","4","more","med","med","unacc"
"84","vhigh","high","5more","4","big","low","unacc"
"85","vhigh","high","5more","4","big","med","unacc"
"86","vhigh","high","5more","4","big","high","unacc"
"87","vhigh","high","5more","more","small","low","unacc"
"88","vhigh","high","5more","more","small","med","unacc"
"89","vhigh","high","5more","more","small","high","unacc"
"90","vhigh","high","5more","more","med","low","unacc"
"91","vhigh","high","5more","more","med","med","unacc"
"92","vhigh","med","2","4","med","low","unacc"
"93","vhigh","med","2","4","med","med","unacc"
"94","vhigh","med","2","4","med","high","acc"
"95","vhigh","med","2","4","big","low","unacc"
"96","vhigh","med","2","4","big","med","acc"
"97","vhigh","med","2","4","big","high","acc"
"98","vhigh","med","2","more","small","low","unacc"
"99","vhigh","med","2","more","small","med","unacc"
"100","vhigh","med","2","more","small","high","unacc"
"101","vhigh","med","2","more","med","low","unacc"
"102","vhigh","med","3","4","med","med","unacc"
"103","vhigh","med","3","4","med","high","acc"
"104","vhigh","med","3","4","big","low","unacc"
"105","vhigh","med","3","4","big","med","acc"
"106","vhigh","med","3","4","big","high","acc"
"107","vhigh","med","3","more","small","low","unacc"
"108","vhigh","med","3","more","small","med","unacc"
"109","vhigh","med","3","more","small","high","acc"
"110","vhigh","med","3","more","med","low","unacc"
"111","vhigh","med","3","more","med","med","acc"
"112","vhigh","med","3","more","med","high","acc"
"113","vhigh","med","4","4","big","med","acc"
"114","vhigh","med","4","4","big","high","acc"
"115","vhigh","med","4","more","small","low","unacc"
"116","vhigh","med","4","more","small","med","unacc"
"117","vhigh","med","4","more","small","high","acc"
"118","vhigh","med","4","more","med","low","unacc"
"119","vhigh","med","4","more","med","med","acc"
"120","vhigh","med","4","more","med","high","acc"
"121","vhigh","med","4","more","big","low","unacc"
"122","vhigh","med","4","more","big","med","acc"
"123","vhigh","med","4","more","big","high","acc"
"124","vhigh","med","5more","2","small","low","unacc"
"125","vhigh","med","5more","2","small","med","unacc"
"126","vhigh","med","5more","2","small","high","unacc"
"127","vhigh","med","5more","2","med","low","unacc"
"128","vhigh","med","5more","2","med","med","unacc"
"129","vhigh","med","5more","2","med","high","unacc"
"130","vhigh","med","5more","more","small","med","unacc"
"131","vhigh","med","5more","more","small","high","acc"
"132","vhigh","med","5more","more","med","low","unacc"
"133","vhigh","med","5more","more","med","med","acc"
"134","vhigh","med","5more","more","med","high","acc"
"135","vhigh","med","5more","more","big","low","unacc"
"136","vhigh","med","5more","more","big","med","acc"
"137","vhigh","med","5more","more","big","high","acc"
"138","vhigh","low","2","2","small","low","unacc"
"139","vhigh","low","2","2","small","med","unacc"
"140","vhigh","low","2","2","small","high","unacc"
"141","vhigh","low","2","more","small","med","unacc"
"142","vhigh","low","2","more","small","high","unacc"
"143","vhigh","low","2","more","med","low","unacc"
"144","vhigh","low","2","more","med","med","unacc"
"145","vhigh","low","2","more","med","high","acc"
"146","vhigh","low","2","more","big","low","unacc"
"147","vhigh","low","2","more","big","med","acc"
"148","vhigh","low","2","more","big","high","acc"
"149","vhigh","low","3","2","small","low","unacc"
"150","vhigh","low","3","2","small","med","unacc"
"151","vhigh","low","3","2","small","high","unacc"
"152","vhigh","low","3","2","med","low","unacc"
"153","vhigh","low","3","2","med","med","unacc"
"154","vhigh","low","3","2","med","high","unacc"
"155","vhigh","low","3","2","big","low","unacc"
"156","vhigh","low","3","2","big","med","unacc"
"157","vhigh","low","3","more","big","low","unacc"
"158","vhigh","low","3","more","big","med","acc"
"159","vhigh","low","3","more","big","high","acc"
"160","vhigh","low","4","2","small","low","unacc"
"161","vhigh","low","4","2","small","med","unacc"
"162","vhigh","low","4","2","small","high","unacc"
"163","vhigh","low","4","2","med","low","unacc"
"164","vhigh","low","4","2","med","med","unacc"
"165","vhigh","low","4","2","med","high","unacc"
"166","vhigh","low","4","2","big","low","unacc"
"167","vhigh","low","4","2","big","med","unacc"
"168","vhigh","low","4","2","big","high","unacc"
"169","vhigh","low","4","4","small","low","unacc"
"170","vhigh","low","5more","2","small","high","unacc"
"171","vhigh","low","5more","2","med","low","unacc"
"172","vhigh","low","5more","2","med","med","unacc"
"173","vhigh","low","5more","2","med","high","unacc"
"174","vhigh","low","5more","2","big","low","unacc"
"175","vhigh","low","5more","2","big","med","unacc"
"176","vhigh","low","5more","2","big","high","unacc"
"177","vhigh","low","5more","4","small","low","unacc"
"178","vhigh","low","5more","4","small","med","unacc"
"179","vhigh","low","5more","4","small","high","acc"
"180","vhigh","low","5more","4","med","low","unacc"
"181","vhigh","low","5more","4","med","med","acc"
"182","vhigh","low","5more","4","med","high","acc"
"183","vhigh","low","5more","4","big","low","unacc"
"184","vhigh","low","5more","4","big","med","acc"
"185","vhigh","low","5more","4","big","high","acc"
"186","vhigh","low","5more","more","small","low","unacc"
"187","vhigh","low","5more","more","small","med","unacc"
"188","high","vhigh","2","4","small","high","unacc"
"189","high","vhigh","2","4","med","low","unacc"
"190","high","vhigh","2","4","med","med","unacc"
"191","high","vhigh","2","4","med","high","unacc"
"192","high","vhigh","2","4","big","low","unacc"
"193","high","vhigh","2","4","big","med","unacc"
"194","high","vhigh","2","4","big","high","unacc"
"195","high","vhigh","2","more","small","low","unacc"
"196","high","vhigh","2","more","small","med","unacc"
"197","high","vhigh","2","more","small","high","unacc"
"198","high","vhigh","2","more","med","low","unacc"
"199","high","vhigh","2","more","med","med","unacc"
"200","high","vhigh","2","more","med","high","unacc"
"201","high","vhigh","2","more","big","low","unacc"
"202","high","vhigh","2","more","big","med","unacc"
"203","high","vhigh","2","more","big","high","unacc"
"204","high","vhigh","3","2","small","low","unacc"
"205","high","vhigh","3","2","small","med","unacc"
"206","high","vhigh","3","2","small","high","unacc"
"207","high","vhigh","3","2","med","low","unacc"
"208","high","vhigh","3","2","med","med","unacc"
"209","high","vhigh","3","2","med","high","unacc"
"210","high","vhigh","3","2","big","low","unacc"
"211","high","vhigh","3","more","small","high","unacc"
"212","high","vhigh","3","more","med","low","unacc"
"213","high","vhigh","3","more","med","med","unacc"
"214","high","vhigh","3","more","med","high","unacc"
"215","high","vhigh","3","more","big","low","unacc"
"216","high","vhigh","3","more","big","med","unacc"
"217","high","vhigh","3","more","big","high","unacc"
"218","high","vhigh","4","2","small","low","unacc"
"219","high","vhigh","4","2","small","med","unacc"
"220","high","vhigh","4","2","small","high","unacc"
"221","high","vhigh","4","2","med","low","unacc"
"222","high","vhigh","4","2","med","med","unacc"
"223","high","vhigh","4","2","med","high","unacc"
"224","high","vhigh","4","2","big","low","unacc"
"225","high","vhigh","4","2","big","med","unacc"
"226","high","vhigh","4","2","big","high","unacc"
"227","high","vhigh","4","4","small","low","unacc"
"228","high","vhigh","4","4","small","med","unacc"
"229","high","vhigh","4","4","small","high","unacc"
"230","high","vhigh","4","4","med","low","unacc"
"231","high","vhigh","4","4","med","med","unacc"
"232","high","vhigh","4","4","med","high","unacc"
"233","high","vhigh","4","4","big","low","unacc"
"234","high","vhigh","4","4","big","med","unacc"
"235","high","vhigh","4","4","big","high","unacc"
"236","high","vhigh","5more","2","small","high","unacc"
"237","high","vhigh","5more","2","med","low","unacc"
"238","high","vhigh","5more","2","med","med","unacc"
"239","high","vhigh","5more","2","med","high","unacc"
"240","high","vhigh","5more","2","big","low","unacc"
"241","high","vhigh","5more","2","big","med","unacc"
"242","high","vhigh","5more","2","big","high","unacc"
"243","high","vhigh","5more","4","small","low","unacc"
"244","high","vhigh","5more","4","small","med","unacc"
"245","high","vhigh","5more","4","small","high","unacc"
"246","high","high","2","4","med","med","unacc"
"247","high","high","2","4","med","high","acc"
"248","high","high","2","4","big","low","unacc"
"249","high","high","2","4","big","med","acc"
"250","high","high","2","4","big","high","acc"
"251","high","high","2","more","small","low","unacc"
"252","high","high","2","more","small","med","unacc"
"253","high","high","2","more","small","high","unacc"
"254","high","high","2","more","med","low","unacc"
"255","high","high","2","more","med","med","unacc"
"256","high","high","2","more","med","high","acc"
"257","high","high","2","more","big","low","unacc"
"258","high","high","2","more","big","med","acc"
"259","high","high","2","more","big","high","acc"
"260","high","high","3","2","small","low","unacc"
"261","high","high","3","2","small","med","unacc"
"262","high","high","3","2","small","high","unacc"
"263","high","high","3","2","med","low","unacc"
"264","high","high","3","2","med","med","unacc"
"265","high","high","3","2","med","high","unacc"
"266","high","high","3","2","big","low","unacc"
"267","high","high","3","2","big","med","unacc"
"268","high","high","3","2","big","high","unacc"
"269","high","high","4","2","small","high","unacc"
"270","high","high","4","2","med","low","unacc"
"271","high","high","4","2","med","med","unacc"
"272","high","high","4","2","med","high","unacc"
"273","high","high","4","2","big","low","unacc"
"274","high","high","4","2","big","med","unacc"
"275","high","high","4","2","big","high","unacc"
"276","high","high","4","4","small","low","unacc"
"277","high","high","4","4","small","med","unacc"
"278","high","high","4","4","small","high","acc"
"279","high","high","4","4","med","low","unacc"
"280","high","high","4","4","med","med","acc"
"281","high","high","4","4","med","high","acc"
"282","high","high","4","4","big","low","unacc"
"283","high","high","4","4","big","med","acc"
"284","high","high","4","4","big","high","acc"
"285","high","high","4","more","small","low","unacc"
"286","high","high","4","more","small","med","unacc"
"287","high","high","4","more","small","high","acc"
"288","high","high","4","more","med","low","unacc"
"289","high","high","4","more","med","med","acc"
"290","high","high","5more","4","small","high","acc"
"291","high","high","5more","4","med","low","unacc"
"292","high","high","5more","4","med","med","acc"
"293","high","high","5more","4","med","high","acc"
"294","high","high","5more","4","big","low","unacc"
"295","high","high","5more","4","big","med","acc"
"296","high","high","5more","4","big","high","acc"
"297","high","high","5more","more","small","low","unacc"
"298","high","high","5more","more","small","med","unacc"
"299","high","high","5more","more","small","high","acc"
"300","high","high","5more","more","med","low","unacc"
"301","high","high","5more","more","med","med","acc"
"302","high","high","5more","more","med","high","acc"
"303","high","high","5more","more","big","low","unacc"
"304","high","high","5more","more","big","med","acc"
"305","high","high","5more","more","big","high","acc"
"306","high","med","2","2","small","low","unacc"
"307","high","med","2","2","small","med","unacc"
"308","high","med","2","2","small","high","unacc"
"309","high","med","2","2","med","low","unacc"
"310","high","med","2","2","med","med","unacc"
"311","high","med","2","2","med","high","unacc"
"312","high","med","2","2","big","low","unacc"
"313","high","med","2","2","big","med","unacc"
"314","high","med","2","2","big","high","unacc"
"315","high","med","2","4","small","low","unacc"
"316","high","med","2","4","small","med","unacc"
"317","high","med","2","4","small","high","acc"
"318","high","med","2","4","med","low","unacc"
"319","high","med","2","4","med","med","unacc"
"320","high","med","3","2","big","low","unacc"
"321","high","med","3","2","big","med","unacc"
"322","high","med","3","2","big","high","unacc"
"323","high","med","3","4","small","low","unacc"
"324","high","med","3","4","small","med","unacc"
"325","high","med","3","4","small","high","acc"
"326","high","med","3","4","med","low","unacc"
"327","high","med","3","4","med","med","unacc"
"328","high","med","3","4","med","high","acc"
"329","high","med","3","4","big","low","unacc"
"330","high","med","3","4","big","med","acc"
"331","high","med","3","4","big","high","acc"
"332","high","med","3","more","small","low","unacc"
"333","high","med","3","more","small","med","unacc"
"334","high","med","3","more","small","high","acc"
"335","high","med","3","more","med","low","unacc"
"336","high","med","3","more","med","med","acc"
"337","high","med","3","more","med","high","acc"
"338","high","med","3","more","big","low","unacc"
"339","high","low","2","4","small","low","unacc"
"340","high","low","2","4","small","med","unacc"
"341","high","low","2","4","small","high","acc"
"342","high","low","2","4","med","low","unacc"
"343","high","low","2","4","med","med","unacc"
"344","high","low","2","4","med","high","acc"
"345","high","low","2","4","big","low","unacc"
"346","high","low","2","4","big","med","acc"
"347","high","low","2","4","big","high","acc"
"348","med","vhigh","5more","4","small","high","acc"
"349","med","vhigh","5more","4","med","low","unacc"
"350","med","vhigh","5more","4","med","med","acc"
"351","med","vhigh","5more","4","med","high","acc"
"352","med","vhigh","5more","4","big","low","unacc"
"353","med","vhigh","5more","4","big","med","acc"
"354","med","vhigh","5more","4","big","high","acc"
"355","med","vhigh","5more","more","small","low","unacc"
"356","med","vhigh","5more","more","small","med","unacc"
"357","med","vhigh","5more","more","small","high","acc"
"358","med","vhigh","5more","more","med","low","unacc"
"359","med","vhigh","5more","more","med","med","acc"
"360","med","vhigh","5more","more","med","high","acc"
"361","med","vhigh","5more","more","big","low","unacc"
"362","med","vhigh","5more","more","big","med","acc"
"363","med","vhigh","5more","more","big","high","acc"
"364","med","high","2","2","small","low","unacc"
"365","med","high","2","2","small","med","unacc"
"366","med","high","2","2","small","high","unacc"
"367","med","high","2","2","med","low","unacc"
"368","med","high","2","2","med","med","unacc"
"369","med","high","2","2","med","high","unacc"
"370","med","high","2","2","big","low","unacc"
"371","med","high","2","2","big","med","unacc"
"372","med","high","2","2","big","high","unacc"
"373","med","high","2","4","small","low","unacc"
"374","med","high","2","4","small","med","unacc"
"375","med","high","2","4","small","high","acc"
"376","med","high","2","4","med","low","unacc"
"377","med","high","2","4","med","med","unacc"
"378","med","high","2","4","med","high","acc"
"379","med","high","2","4","big","low","unacc"
"380","med","high","2","4","big","med","acc"
"381","med","high","2","4","big","high","acc"
"382","med","high","2","more","small","low","unacc"
"383","med","high","2","more","small","med","unacc"
"384","med","high","2","more","small","high","unacc"
"385","med","high","2","more","med","low","unacc"
"386","med","high","2","more","med","med","unacc"
"387","med","high","2","more","med","high","acc"
"388","med","high","2","more","big","low","unacc"
"389","med","high","2","more","big","med","acc"
"390","med","high","2","more","big","high","acc"
"391","med","high","3","2","small","low","unacc"
"392","med","high","3","2","small","med","unacc"
"393","med","high","3","2","small","high","unacc"
"394","med","high","3","2","med","low","unacc"
"395","med","high","3","2","med","med","unacc"
"396","med","high","3","2","med","high","unacc"
"397","med","high","3","2","big","low","unacc"
"398","med","high","3","2","big","med","unacc"
"399","med","high","3","2","big","high","unacc"
"400","med","high","3","4","small","low","unacc"
"401","med","high","3","4","small","med","unacc"
"402","med","high","3","4","small","high","acc"
"403","med","high","3","4","med","low","unacc"
"404","med","high","3","4","med","med","unacc"
"405","med","high","3","4","med","high","acc"
"406","med","high","3","4","big","low","unacc"
"407","med","high","3","4","big","med","acc"
"408","med","high","3","4","big","high","acc"
"409","med","high","3","more","small","low","unacc"
"410","med","high","3","more","small","med","unacc"
"411","med","high","3","more","small","high","acc"
"412","med","high","3","more","med","low","unacc"
"413","med","high","3","more","med","med","acc"
"414","med","high","3","more","med","high","acc"
"415","med","high","3","more","big","low","unacc"
"416","med","high","3","more","big","med","acc"
"417","med","high","3","more","big","high","acc"
"418","med","high","4","2","small","low","unacc"
"419","med","high","4","2","small","med","unacc"
"420","med","high","4","2","small","high","unacc"
"421","med","high","4","2","med","low","unacc"
"422","med","high","4","2","med","med","unacc"
"423","med","high","4","2","med","high","unacc"
"424","med","high","4","2","big","low","unacc"
"425","med","high","4","2","big","med","unacc"
"426","med","high","4","2","big","high","unacc"
"427","med","high","4","4","small","low","unacc"
"428","med","high","4","4","small","med","unacc"
"429","med","high","4","4","small","high","acc"
"430","med","high","4","4","med","low","unacc"
"431","med","high","4","4","med","med","acc"
"432","med","high","4","4","med","high","acc"
"433","med","high","4","4","big","low","unacc"
"434","med","high","4","4","big","med","acc"
"435","med","high","4","4","big","high","acc"
"436","med","high","4","more","small","low","unacc"
"437","med","high","4","more","small","med","unacc"
"438","med","high","4","more","small","high","acc"
"439","med","high","4","more","med","low","unacc"
"440","med","high","4","more","med","med","acc"
"441","med","high","4","more","med","high","acc"
"442","med","high","4","more","big","low","unacc"
"443","med","high","4","more","big","med","acc"
"444","med","high","4","more","big","high","acc"
"445","med","high","5more","2","small","low","unacc"
"446","med","high","5more","2","small","med","unacc"
"447","med","high","5more","2","small","high","unacc"
"448","med","high","5more","2","med","low","unacc"
"449","med","high","5more","2","med","med","unacc"
"450","med","high","5more","2","med","high","unacc"
"451","med","high","5more","2","big","low","unacc"
"452","med","high","5more","2","big","med","unacc"
"453","med","high","5more","2","big","high","unacc"
"454","med","high","5more","4","small","low","unacc"
"455","med","high","5more","4","small","med","unacc"
"456","med","high","5more","4","small","high","acc"
"457","med","high","5more","4","med","low","unacc"
"458","med","high","5more","4","med","med","acc"
"459","med","high","5more","4","med","high","acc"
"460","med","high","5more","4","big","low","unacc"
"461","med","high","5more","4","big","med","acc"
"462","med","high","5more","4","big","high","acc"
"463","med","high","5more","more","small","low","unacc"
"464","med","high","5more","more","small","med","unacc"
"465","med","high","5more","more","small","high","acc"
"466","med","high","5more","more","med","low","unacc"
"467","med","high","5more","more","med","med","acc"
"468","med","high","5more","more","med","high","acc"
"469","med","high","5more","more","big","low","unacc"
"470","med","high","5more","more","big","med","acc"
"471","med","high","5more","more","big","high","acc"
"472","med","med","2","2","small","low","unacc"
"473","med","med","2","2","small","med","unacc"
"474","med","med","2","2","small","high","unacc"
"475","med","med","2","2","med","low","unacc"
"476","med","med","2","2","med","med","unacc"
"477","med","med","2","2","med","high","unacc"
"478","med","med","2","2","big","low","unacc"
"479","med","med","2","2","big","med","unacc"
"480","med","med","2","2","big","high","unacc"
"481","med","med","2","4","small","low","unacc"
"482","med","med","2","4","small","med","acc"
"483","med","med","2","4","small","high","acc"
"484","med","med","2","4","med","low","unacc"
"485","med","med","2","4","med","med","acc"
"486","med","med","2","4","med","high","acc"
"487","med","med","2","4","big","low","unacc"
"488","med","med","2","4","big","med","acc"
"489","med","med","2","4","big","high","vgood"
"490","med","med","2","more","small","low","unacc"
"491","med","med","2","more","small","med","unacc"
"492","med","med","2","more","small","high","unacc"
"493","med","med","2","more","med","low","unacc"
"494","med","med","2","more","med","med","acc"
"495","med","med","2","more","med","high","acc"
"496","med","med","2","more","big","low","unacc"
"497","med","med","2","more","big","med","acc"
"498","med","med","2","more","big","high","vgood"
"499","med","med","3","2","small","low","unacc"
"500","med","med","3","2","small","med","unacc"
"501","med","med","3","2","small","high","unacc"
"502","med","med","3","2","med","low","unacc"
"503","med","med","3","2","med","med","unacc"
"504","med","med","3","2","med","high","unacc"
"505","med","med","3","2","big","low","unacc"
"506","med","med","3","2","big","med","unacc"
"507","med","med","3","2","big","high","unacc"
"508","med","med","3","4","small","low","unacc"
"509","med","med","3","4","small","med","acc"
"510","med","med","3","4","small","high","acc"
"511","med","med","3","4","med","low","unacc"
"512","med","med","3","4","med","med","acc"
"513","med","med","3","4","med","high","acc"
"514","med","med","3","4","big","low","unacc"
"515","med","med","3","4","big","med","acc"
"516","med","med","3","4","big","high","vgood"
"517","med","med","3","more","small","low","unacc"
"518","med","med","3","more","small","med","acc"
"519","med","med","3","more","small","high","acc"
"520","med","med","3","more","med","low","unacc"
"521","med","med","3","more","med","med","acc"
"522","med","med","3","more","med","high","vgood"
"523","med","med","3","more","big","low","unacc"
"524","med","med","3","more","big","med","acc"
"525","med","med","3","more","big","high","vgood"
"526","med","med","4","2","small","low","unacc"
"527","med","med","4","2","small","med","unacc"
"528","med","med","4","2","small","high","unacc"
"529","med","med","4","2","med","low","unacc"
"530","med","med","4","2","med","med","unacc"
"531","med","med","4","2","med","high","unacc"
"532","med","med","4","2","big","low","unacc"
"533","med","med","4","2","big","med","unacc"
"534","med","med","4","2","big","high","unacc"
"535","med","med","4","4","small","low","unacc"
"536","med","med","4","4","small","med","acc"
"537","med","med","4","4","small","high","acc"
"538","med","med","4","4","med","low","unacc"
"539","med","med","4","4","med","med","acc"
"540","med","med","4","4","med","high","vgood"
"541","med","med","4","4","big","low","unacc"
"542","med","med","4","4","big","med","acc"
"543","med","med","4","4","big","high","vgood"
"544","med","med","4","more","small","low","unacc"
"545","med","med","4","more","small","med","acc"
"546","med","med","4","more","small","high","acc"
"547","med","med","4","more","med","low","unacc"
"548","med","med","4","more","med","med","acc"
"549","med","med","4","more","med","high","vgood"
"550","med","med","4","more","big","low","unacc"
"551","med","med","4","more","big","med","acc"
"552","med","med","4","more","big","high","vgood"
"553","med","med","5more","2","small","low","unacc"
"554","med","med","5more","2","small","med","unacc"
"555","med","med","5more","2","small","high","unacc"
